	C	FDR_C	I	FDR_I	G	FDR_G	FDR
6330403K07Rik	5.5947282756424136e-191	4.685704476326497e-189	2.8173900093882284e-213	2.875792156457839e-211	0.0	0.0	1.929728924725618e-93
6330403L08Rik	0.15799747539851644	0.21747678907572165	0.9660905350930802	0.9834281688797495	0.028790109845561407	0.06870781450965813	0.22325047405211834
6430548M08Rik	0.0001937078354932553	0.0006723850797018806	0.00977711612355799	0.034191991754013114	0.0027541796555540232	0.009192168407620528	0.00019078284216951508
6430573F11Rik	3.0338872177002037e-08	1.6988034769282456e-07	1.0622696310981102e-18	1.3624581302526677e-17	0.0	0.0	7.262875742708952e-23
6530403H02Rik	1.368586284830131e-31	2.261513828844933e-30	1.348433720290295e-38	3.023638907351167e-37	0.0	0.0	7.997267767388468e-43
8030462N17Rik	0.005254898845338646	0.012931379654815016	0.42011361896118904	0.6359859378656794	0.0947653456686911	0.17687812545567616	0.8668540856370138
9030624J02Rik	0.012445874751922588	0.02726517475834774	0.48627674588009917	0.6909840244894275	0.22945345686177776	0.3212020605412229	0.40499573998756627
9130011E15Rik	0.4882176403082399	0.4921350331633004	0.04248160433880762	0.11997218342177689	0.05149799748205808	0.11039791671990529	0.3207513283109228
9130401M01Rik	0.12161923179616535	0.1776340516277574	0.4589205426859926	0.6673253075172785	0.045218840038709573	0.09933431347040012	0.2780870688936615
9330111N05Rik	0.30396166391535895	0.35485038614716735	0.962922776433647	0.9822864017953308	0.3587327641184298	0.4165958777602244	0.7646971323898222
9330159F19Rik	0.3062405258544744	0.3566921327526441	0.6840171006217439	0.838607914521694	0.4921255778922625	0.495976543655351	0.4055560775996202
9330179D12Rik	0.013712024458891255	0.02958473749883614	0.001133288418761527	0.004909413446261806	8.007192131564977e-08	4.7209672501326843e-07	0.0019240387398091602
9330182L06Rik	1.4799427137045491e-06	7.005777126372405e-06	3.537305239874231e-07	2.3341450535708817e-06	1.7182701150808555e-08	1.0596179268519385e-07	2.328097550205474e-06
9330185C12Rik	1.4674546689909742e-05	6.057113859074371e-05	0.04630725150737863	0.1288006691799044	7.517148370439486e-08	4.450787727005228e-07	0.40563610033360986
9430015G10Rik	0.3443088551674581	0.3868244063042791	0.29862795070489623	0.513558316770319	0.10368766948235786	0.18962961426980676	0.9370000179061473
9530059O14Rik	2.79981955479376e-09	1.7211688718584727e-08	0.22087217877676568	0.41673627760452336	0.019312924465452408	0.04919348761033745	0.09575774565423927
9530068E07Rik	0.11205036514389571	0.1664364905328231	0.7347061016293706	0.8704458747798894	0.2060406135298981	0.2998206076595592	0.6176251263322095
9530082P21Rik	0.009995337731087366	0.022630386882376407	0.0004990088823030741	0.0022838804473086518	2.939557991055164e-05	0.00013638602629900356	1.985364343515519e-05
9930021J03Rik	0.13853753734636132	0.19628821984629763	0.16484923034845023	0.34043363713055086	0.09070478171783836	0.17087032082289813	0.47099713358310474
A230006K03Rik	5.363267123026935e-05	0.00020385824103390587	5.951276440712119e-05	0.00031152007394518187	6.739370751129847e-06	3.347141104425817e-05	1.6592816044682293e-07
A230050P20Rik	0.4397387355812722	0.45811182967902253	0.9947196096586538	0.9971062212593511	0.25512321477159994	0.34269395223398325	0.49395398173532723
A230057D06Rik	9.66484958251048e-10	6.157728287322509e-09	4.417086604775199e-11	3.874935688468413e-10	1.9179657861911892e-11	1.4313896983158768e-10	9.290198358277172e-07
A230083G16Rik	0.018152093815590024	0.03752837715392285	0.6090050163096083	0.786457584978631	0.10034907251356107	0.18479995518894662	0.42999698376886425
A230087F16Rik	0.21802126009382217	0.2786317664211329	0.5579713150028621	0.7456008545328493	0.07071186175245037	0.1408558137059039	0.39830319106549195
A2ml1	9.56059349894462e-06	4.052087184089894e-05	5.694337887099902e-12	5.2990329492584935e-11	0.0	0.0	4.913394100990476e-14
A330008L17Rik	0.013084452689010442	0.02843096657566722	0.00012197139386006205	0.000612921891504999	3.0840539512189125e-06	1.5723540409986537e-05	5.9699120489881e-08
A330033J07Rik	4.572294389406965e-29	6.9571293046271505e-28	0.5234452316106891	0.7203613387446832	0.44459539863063346	0.47057575190987017	0.5392906995184543
A330102I10Rik	0.0017873885164398943	0.005015641486997286	0.004300683105292619	0.01655889734725437	0.00012857277908795428	0.0005454046157068676	0.0007447322288935282
A430005L14Rik	0.11046722648645985	0.16453387328481836	0.5203480972094963	0.7176655582840975	0.2550545854707764	0.34264873636250864	0.5408631936307392
A430046D13Rik	0.37705598886143726	0.41251965775940963	0.8386322928274049	0.926007475882065	0.07302295889627963	0.14441008561546803	0.30579948752441316
A630089N07Rik	0.013318688584867979	0.02884195125814836	0.42746695727441897	0.6425852588061858	0.1521485505612301	0.24541623818098665	0.33273280206369316
A730017C20Rik	0.2564208909213994	0.31310508537555054	0.11701110367663581	0.2654756766583551	0.005774607959875611	0.017567644644154334	0.008879591406385893
